id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;operatorname;shortname;bookingrules;mode;pointgeo;nom_commune;code_insee
IDFM:C00275;6570;IDFM:13438;Clos des Bois;1.9270605856289331;48.9467153123477;Keolis Seine et Oise Est;6570;;Bus;48.9467153123477, 1.9270605856289331;Ecquevilly;78206
IDFM:C00275;6570;IDFM:13390;Croix Paquet;1.9467169559501867;48.926061029634006;Keolis Seine et Oise Est;6570;;Bus;48.926061029634006, 1.9467169559501867;Morainvilliers;78431
IDFM:C00275;6570;IDFM:13394;Ferme de Montamets;1.962979507671955;48.92363075732348;Keolis Seine et Oise Est;6570;;Bus;48.92363075732348, 1.962979507671955;Orgeval;78466
IDFM:C00275;6570;IDFM:13672;Rue de Feucherolles;2.02262186817673;48.907503285696585;Keolis Seine et Oise Est;6570;;Bus;48.907503285696585, 2.02262186817673;Aigremont;78007
IDFM:C00275;6570;IDFM:13768;Joyenval;2.0315448265859555;48.903088011835735;Keolis Seine et Oise Est;6570;;Bus;48.903088011835735, 2.0315448265859555;Chambourcy;78133
IDFM:C00275;6570;IDFM:34527;Grande Ceinture;2.0721198607572506;48.90134972266913;Keolis Seine et Oise Est;6570;;Bus;48.90134972266913, 2.0721198607572506;Saint-Germain-en-Laye;78551
IDFM:C00275;6570;IDFM:13498;Jehan Alain;2.0877235434431687;48.90069615750782;Keolis Seine et Oise Est;6570;;Bus;48.90069615750782, 2.0877235434431687;Saint-Germain-en-Laye;78551
IDFM:C00276;5323;IDFM:5907;Haie Bergerie;1.9993233520042182;48.827805350718045;Transdev Sud Yvelines;5323;;Bus;48.827805350718045, 1.9993233520042182;Villepreux;78674
IDFM:C00276;5323;IDFM:9261;Fontaine aux Dames;2.0091634471704563;48.83286103719309;Transdev Sud Yvelines;5323;;Bus;48.83286103719309, 2.0091634471704563;Villepreux;78674
IDFM:C00276;5323;IDFM:13981;Tennis;2.0194574156199225;48.85604246712358;Transdev Sud Yvelines;5323;;Bus;48.85604246712358, 2.0194574156199225;Saint-Nom-la-Bretèche;78571
IDFM:C00276;5323;IDFM:34549;Pontel;2.0822058180713356;48.887919191654184;Transdev Sud Yvelines;5323;;Bus;48.887919191654184, 2.0822058180713356;Saint-Germain-en-Laye;78551
IDFM:C00276;5323;IDFM:14026;Gare Saint-Germain-en-Laye - Rue Thiers;2.096495997516836;48.897489041619565;Transdev Sud Yvelines;5323;;Bus;48.897489041619565, 2.096495997516836;Saint-Germain-en-Laye;78551
IDFM:C00276;5323;IDFM:34684;Place Royale - Lyautey;2.0974040321543987;48.89468093125647;Transdev Sud Yvelines;5323;;Bus;48.89468093125647, 2.0974040321543987;Saint-Germain-en-Laye;78551
IDFM:C00276;5323;IDFM:32836;Alexandre Bertrand;2.09848016906658;48.88924796586726;Transdev Sud Yvelines;5323;;Bus;48.88924796586726, 2.09848016906658;Saint-Germain-en-Laye;78551
IDFM:C00276;5323;IDFM:9262;Fontaine aux Dames;2.0089854448057824;48.83278552289282;Transdev Sud Yvelines;5323;;Bus;48.83278552289282, 2.0089854448057824;Villepreux;78674
IDFM:C00276;5323;IDFM:5676;Docteur Vaillant;1.995917245354705;48.8263764801907;Transdev Sud Yvelines;5323;;Bus;48.8263764801907, 1.995917245354705;Les Clayes-sous-Bois;78165
IDFM:C00276;5323;IDFM:5679;Gare Routière des Clayes;1.991282787252901;48.82375337300829;Transdev Sud Yvelines;5323;;Bus;48.82375337300829, 1.991282787252901;Les Clayes-sous-Bois;78165
IDFM:C00279;5295;IDFM:32440;Mairie / Bailly;2.0788747299339647;48.84062241657613;Transdev Sud Yvelines;5295;;Bus;48.84062241657613, 2.0788747299339647;Bailly;78043
IDFM:C00279;5295;IDFM:14086;Tuilerie Bignon;2.041648683846919;48.85296647028314;Transdev Sud Yvelines;5295;;Bus;48.85296647028314, 2.041648683846919;Noisy-le-Roi;78455
IDFM:C00279;5295;IDFM:483810;Lycée International;2.0616201655611315;48.897328765925856;Transdev Sud Yvelines;5295;;Bus;48.897328765925856, 2.0616201655611315;Saint-Germain-en-Laye;78551
IDFM:C00279;5295;IDFM:14140;Sucrerie;1.976570235927407;48.85574629332596;Transdev Sud Yvelines;5295;;Bus;48.85574629332596, 1.976570235927407;Chavenay;78152
IDFM:C00279;5295;IDFM:14091;Forêt de Cruye;2.0536991315248767;48.852828541930315;Transdev Sud Yvelines;5295;;Bus;48.852828541930315, 2.0536991315248767;Noisy-le-Roi;78455
IDFM:C00279;5295;IDFM:32439;Mairie / Bailly;2.0784778487805013;48.84041249889785;Transdev Sud Yvelines;5295;;Bus;48.84041249889785, 2.0784778487805013;Bailly;78043
IDFM:C00280;6532;IDFM:420877;Gare de Chanteloup-les-Vignes;2.0275803616951062;48.97071196671033;Keolis Seine et Oise Est;6532;;Bus;48.97071196671033, 2.0275803616951062;Chanteloup-les-Vignes;78138
IDFM:C00281;6503;IDFM:427037;Rue du Stade;2.056103053665286;48.93830407952361;Keolis Seine et Oise Est;6503;;Bus;48.93830407952361, 2.056103053665286;Poissy;78498
IDFM:C00281;6503;IDFM:14120;Boulevard Robespierre;2.0570561104746465;48.93467833091421;Keolis Seine et Oise Est;6503;;Bus;48.93467833091421, 2.0570561104746465;Poissy;78498
IDFM:C00281;6503;IDFM:13930;Blanche de Castille;2.0336430870611935;48.9252737186911;Keolis Seine et Oise Est;6503;;Bus;48.9252737186911, 2.0336430870611935;Poissy;78498
IDFM:C00281;6503;IDFM:13941;La Part Dieu;2.0239687913427016;48.92225448259917;Keolis Seine et Oise Est;6503;;Bus;48.92225448259917, 2.0239687913427016;Poissy;78498
IDFM:C00281;6503;IDFM:13905;Rue de Normandie;1.9795389800063843;48.928944131204624;Keolis Seine et Oise Est;6503;;Bus;48.928944131204624, 1.9795389800063843;Orgeval;78466
IDFM:C00281;6503;IDFM:486928;Château Maurice Clerc;2.017873521093157;48.919821430241655;Keolis Seine et Oise Est;6503;;Bus;48.919821430241655, 2.017873521093157;Poissy;78498
IDFM:C00281;6503;IDFM:14122;Rue du Stade;2.055827517364134;48.937690372820875;Keolis Seine et Oise Est;6503;;Bus;48.937690372820875, 2.055827517364134;Poissy;78498
IDFM:C00281;6503;IDFM:427057;Piscine Saint-Exupéry;2.057738491799001;48.93920727214633;Keolis Seine et Oise Est;6503;;Bus;48.93920727214633, 2.057738491799001;Poissy;78498
IDFM:C00285;6536;IDFM:23056;Gare Routière Nord (A0);2.0400141555663667;48.93354478513148;Keolis Seine et Oise Est;6536;;Bus;48.93354478513148, 2.0400141555663667;Poissy;78498
IDFM:C00285;6536;IDFM:488503;Gare Sud de Poissy (3D);2.0422600437075666;48.93314906524735;Keolis Seine et Oise Est;6536;;Bus;48.93314906524735, 2.0422600437075666;Poissy;78498
IDFM:C00286;6510;IDFM:424018;Chemin du Moulin;2.0137646792979216;48.97820717784737;Keolis Seine et Oise Est;6510;;Bus;48.97820717784737, 2.0137646792979216;Triel-sur-Seine;78624
IDFM:C00286;6510;IDFM:13449;Lieutenant Lecomte;2.009686482217587;48.9771393925883;Keolis Seine et Oise Est;6510;;Bus;48.9771393925883, 2.009686482217587;Triel-sur-Seine;78624
IDFM:C00286;6510;IDFM:14055;Place des Marronniers;2.0040755498416707;48.98406243295492;Keolis Seine et Oise Est;6510;;Bus;48.98406243295492, 2.0040755498416707;Triel-sur-Seine;78624
IDFM:C00286;6510;IDFM:14036;Cheverchemont;2.004809589946248;48.98996782935418;Keolis Seine et Oise Est;6510;;Bus;48.98996782935418, 2.004809589946248;Triel-sur-Seine;78624
IDFM:C00286;6510;IDFM:14051;Les Hublins;2.011504209855313;48.98284688716615;Keolis Seine et Oise Est;6510;;Bus;48.98284688716615, 2.011504209855313;Triel-sur-Seine;78624
IDFM:C00286;6510;IDFM:18474;Gare Routière Nord (C2);2.0395807397141397;48.93336144769051;Keolis Seine et Oise Est;6510;;Bus;48.93336144769051, 2.0395807397141397;Poissy;78498
IDFM:C00286;6510;IDFM:13441;Les Bouveries;2.0209634331942934;48.95432679787516;Keolis Seine et Oise Est;6510;;Bus;48.95432679787516, 2.0209634331942934;Carrières-sous-Poissy;78123
IDFM:C00286;6510;IDFM:14056;Place des Marronniers;2.0037836663182524;48.98432080263398;Keolis Seine et Oise Est;6510;;Bus;48.98432080263398, 2.0037836663182524;Triel-sur-Seine;78624
